Garanhão,Proprietário,Data de Produção (Embriovet),Origem Externa / Referência,Palhetas Produzidas,Qualidade (%),Motilidade (%),Concentração (milhões/mL),Dose inseminante (DI),Local Armazenagem,Certificado,Existência Atual,Observações
Niro das figueiras,,,Espanha,,,,,3,,,43,
Niro das figueiras,,2024-03-20,,29.0,,,,6,,,17,
Niro das figueiras,,2024-03-22,,36.0,,,,6,,,36,
Niro das figueiras,,2024-03-25,,40.0,60.0,,264.0,6,,,40,
Niro das figueiras,,2024-03-26,,34.0,60.0,,207.0,6,,,34,
Niro das figueiras,,2024-03-27,,46.0,50.0,,229.0,6,,,46,
Niro das figueiras,,2024-03-28,,39.0,60.0,,165.0,6,,,29,
Niro das figueiras,,2024-03-29,,27.0,60.0,,284.0,6,,,17,
Niro das figueiras,,2024-03-30,,31.0,60.0,,277.0,6,,,19,
Niro das figueiras,,2024-03-31,,25.0,,,,6,,,9,
Niro das figueiras,,2024-04-01,,37.0,50.0,,189.0,6,,,21,
Niro das figueiras,,2024-04-02,,38.0,50.0,,,6,,,2,
Niro das figueiras,,2024-04-03,,47.0,60.0,,268.0,6,,,16,
Niro das figueiras,,2024-04-04,,15.0,50.0,,164.0,6,,,8,
Niro das figueiras,,2024-04-05,,36.0,70.0,,209.0,6,,,36,
Poeta das Figueiras,,,Espanha,,,,,3,,,2,
Poeta das Figueiras,,2024-01-10,,27.0,,,,3,,,27,
Poeta das Figueiras,,2024-01-11,,58.0,70.0,,247.0,3,,,52,
Poeta das Figueiras,,2024-01-12,,40.0,70.0,,268.0,3,,,40,
Poeta das Figueiras,,2024-01-13,,44.0,60.0,,257.0,3,,,44,
Poeta das Figueiras,,2024-01-14,,48.0,60.0,,282.0,3,,,24,
Poeta das Figueiras,,2024-01-15,,45.0,70.0,,279.0,3,,,45,
Poeta das Figueiras,,2024-01-16,,42.0,70.0,,246.0,3,,,42,
Poeta das Figueiras,,2024-01-17,,24.0,60.0,,184.0,3,,,24,
Poeta das Figueiras,,2024-01-18,,35.0,70.0,,236.0,3,,,35,
Poeta das Figueiras,,2024-01-19,,41.0,70.0,,160.0,3,,,41,
Poeta das Figueiras,,2024-01-20,,25.0,60.0,,243.0,3,,,25,
Poeta das Figueiras,,2024-01-21,,31.0,60.0,,156.0,3,,,31,
Poeta das Figueiras,,2024-01-22,,55.0,60.0,,196.0,3,,,45,
Poeta das Figueiras,,2024-01-23,,49.0,50.0,,194.0,3,,,49,
Poeta das Figueiras,,2024-01-24,,47.0,70.0,,250.0,3,,,47,
Poeta das Figueiras,,2024-01-25,,41.0,50.0,,235.0,3,,,41,
Poeta das Figueiras,,,26/01/2024,46.0,60.0,,146.0,3,,,17,
Oscar das Figueiras,,,espanha,,,,,4,,,3,
Oscar das Figueiras,,2024-02-14,,27.0,35.0,,254.0,4,,,10,
Oscar das Figueiras,,2024-01-14,,26.0,40.0,,272.0,4,,,10,
Oscar das Figueiras,,2024-01-16,,35.0,,,,4,,,9,
Oscar das Figueiras,,2024-01-19,,21.0,40.0,,280.0,4,,,1,
Oscar das Figueiras,,2024-01-20,,42.0,25.0,,,4,,,35,
Oscar das Figueiras,,2024-01-22,,30.0,40.0,,365.0,4,,,28,
Oscar das Figueiras,,2024-01-25,,21.0,,,,4,,,17,
Oscar das Figueiras,,,22.12.23,37.0,25.0,15.0,170.0,4,C3C1,,37,
Oscar das Figueiras,,,24.12.23,35.0,15.0,10.0,360.0,4,C13C1,,35,
Oscar das Figueiras,,,26.12.23,54.0,35.0,,126.0,4,C13C3,,54,
Oscar das Figueiras,,,27.12.23,61.0,30.0,20.0,160.0,4,C7C2,,61,
Oscar das Figueiras,,,28.12.23,21.0,45.0,35.0,261.0,4,C8C8,,21,
Oscar das Figueiras,,,29.12.23,21.0,20.0,15.0,218.0,4,C1C8,,21,
Oscar das Figueiras,,,30.12.23,21.0,35.0,25.0,385.0,4,C1C8,,21,
Oscar das Figueiras,,,02.01.24,27.0,35.0,25.0,372.0,4,C9C2,,27,
Oscar das Figueiras,,,03.01.26,17.0,25.0,15.0,190.0,4,C9C2,,17,
Feelgood,,,Alemanha,512.0,,,,,,,487,
Aladino,,2021-10-28,,32.0,50.0,40.0,180.0,8,,,32,
Aladino,,2021-11-01,,45.0,50.0,40.0,176.0,8,,,45,
Bacará da Broa,,2014-02-06,,34.0,,,,8,"3 | 10, 2º andar | quadrante 1",,13,
Bacará da Broa,,2014-02-06,,35.0,,,,8,"3 | 10, 2º andar | quadrante 1",,22,
Bacará da Broa,,2014-02-12,,15.0,,,,8,"3 | 10, 2º andar | gobelet",,6,
Bacará da Broa,,2014-02-12,,14.0,,,,8,"3 | 10, 2º andar | gobelet",,7,
Bacará da Broa,,2014-02-14,,67.0,,,,8,"3 | 10, 2º andar | quadrante 2",,19,
Bacará da Broa,,2014-02-17,,40.0,,,,8,"3 | 10, 2º andar | quadrante 4",,16,
Bacará da Broa,,2014-03-01,,76.0,,,,8,"3 | 10, 2º andar | quadrante 3",,54,
Bacará da Broa,,,várias,,,,,8,"3 | 5, 2º andar | quadrante 2",,48,
Baccarat,,2018-04-27,,23.0,30.0,20.0,,12,"1 | 7, 2º andar | hexagono",,6,
Baccarat,,2018-04-28,,11.0,40.0,30.0,,12,"1 | 7, 2º andar | gobelet",,10,
Baccarat,,2018-05-02,,26.0,25.0,15.0,,12,"1 | 7, 2º andar | hexagono",,10,
Baccarat,,2018-05-04,,23.0,30.0,25.0,120.0,12,"1 | 7, 2º andar | hexagono",,8,
Baccarat,,2018-05-06,,49.0,20.0,10.0,190.0,12,"1 | 7, 2º andar | quadrante 2",,41,
Baccarat,,2018-05-08,,10.0,30.0,20.0,148.0,12,"1 | 7, 2º andar | gobelet",,1,
Baccarat,,2018-05-10,,6.0,30.0,20.0,156.0,12,"1 | 7, 2º andar | gobelet",,6,
Baccarat,,,Baccarat(man.),16.0,35.0,25.0,258.0,12,"1 | 7, 2º andar | quadrante 3",,14,
Baccarat,,2018-05-23,,10.0,30.0,20.0,,12,"1 | 7, 2º andar | quadrante 4",,6,
Baccarat,,2018-05-25,,8.0,30.0,20.0,,12,"1 | 7, 2º andar | quadrante 1",,4,
Baccarat,,2018-05-29,,15.0,35.0,20.0,,12,"1 | 6, 1º andar | quadrante 1",,15,
Baccarat,,2018-06-01,,14.0,,,,12,"1 | 6, 1º andar | quadrante 1",,14,
Bandido,,2024-11-11,,33.0,25.0,,164.0,,,,33,
Bandido,,2024-11-13,,15.0,30.0,,283.0,,,,15,
Bandido,,2024-11-15,,20.0,45.0,,219.0,,,,20,
Bandido,,2024-11-18,,27.0,35.0,,280.0,,,,27,
Bandido,,2024-11-20,,20.0,30.0,,316.0,,,,20,
Bandido,,2024-11-22,,24.0,35.0,,145.0,,,,24,
Bandido,,2024-11-25,,22.0,35.0,,186.0,,,,22,
Bandido,,2024-11-27,,22.0,35.0,,208.0,,,,22,
Bandido,,2024-11-29,,17.0,30.0,,182.0,,,,17,
Bariloche,,2018-12-07,,51.0,35.0,25.0,120.0,8,"4 | 3, 2º andar | quadrante 2",,51,
Bariloche,,2018-12-09,,46.0,35.0,30.0,,8,"2 | 4, 1º andar | quadrante 3",,3,
Bariloche,,2018-12-12,,56.0,40.0,30.0,160.0,8,"2 | 4, 1º andar | quadrante 2",,21,
Bariloche,,2018-12-14,,52.0,35.0,30.0,204.0,8,"2 | 4, 1º andar | quadrante 1",,43,
Bariloche,,2018-12-16,,63.0,45.0,40.0,188.0,8,"2 | 4, 1º andar | quadrante 4",,1,
Bariloche,,2018-12-19,,47.0,50.0,40.0,242.0,8,"4 | 4, 1º andar | quadrante 4",,47,
Bariloche,,2018-12-21,,54.0,45.0,40.0,156.0,8,"4 | 3, 2º andar | quadrante 2, 3",,54,
Bariloche,,2018-12-23,,36.0,40.0,30.0,172.0,8,"2 | 7, 2º andar | hexagono",,36,
Beduino Lam,,,22/11/2021 A,35.0,,,,,,,35,
Beduino Lam,,,22/11/2021 B,17.0,,,,,,,17,
Bem-me-quer,,2013-05-22,,60.0,,,,,4 | 9 1º andar | quadrante 1,,5,
Bem-me-quer,,2013-05-23,,30.0,,,,,4 | 9 1º andar | quadrante 2,,6,
Bem-me-quer,,2013-05-27,,80.0,,,,,4 | 9 1º andar | quadrante 3,,38,
Bem-me-quer,,2013-05-30,,47.0,,,,,4 | 9 1º andar | quadrante 2,,23,
Bem-me-quer,,2013-05-31,,42.0,,,,,4 | 9 1º andar | quadrante 4,,40,
Bem-me-quer,,2013-06-03,,86.0,,,,,4 | 9 1º andar | quadrante 4,,76,
Bem-me-quer,,2013-06-12,,104.0,,,,,"4 | 4, 2º andar | quadrante 1",,63,
Bem-me-quer,,2013-06-20,,68.0,,,,,"4 | 4, 2º andar | quadrante 2",,56,
Benjamin da Broa,,2016-04-15,,79.0,35.0,20.0,,8,"4 | 6, 1º andar | gobelets",,19,
Benjamin da Broa,,2018-11-15,,20.0,40.0,35.0,308.0,8,"4 | 6, 1º andar | gobelets",,20,
Benjamin da Broa,,2018-11-16,,17.0,35.0,25.0,290.0,8,"4 | 6, 1º andar | gobelets",,10,
Benjamin da Broa,,2018-11-17,,16.0,40.0,35.0,388.0,8,"4 | 6, 1º andar | quadrante 4",,11,
Benjamin da Broa,,2018-11-18,,23.0,30.0,20.0,292.0,8,"1 | 1, 1º andar | quadrante 2",,14,
Benjamin da Broa,,2018-11-19,,23.0,45.0,30.0,344.0,8,"4 | 6, 1º andar | quadrante 1",,18,
Benjamin da Broa,,2018-11-20,,30.0,25.0,10.0,258.0,8,"4 | 6, 1º andar | quadrante 3",,25,
Benjamin da Broa,,2018-11-21,,35.0,25.0,10.0,,8,"4 | 6, 1º andar | quadrante 2",,31,
Benjamin da Broa,,2018-11-22,,25.0,45.0,30.0,186.0,8,"4 | 6, 1º andar | gobelets",,18,
Benjamin da Broa,,2018-11-23,,31.0,35.0,20.0,320.0,8,"4 | 6, 1º andar | hexagono",,28,
Benjamin da Broa,,2018-11-24,,31.0,45.0,35.0,272.0,8,"4 | 7, 2º andar | hexagono",,25,
Benjamin da Broa,,2018-11-25,,30.0,40.0,30.0,358.0,8,"4 | 7, 2º andar | hexagono",,22,
Benjamin da Broa,,2018-11-26,,22.0,40.0,30.0,320.0,8,"4 | 7, 2º andar | quadrante 3",,14,
Benjamin da Broa,,2018-11-27,,20.0,40.0,30.0,332.0,8,"4 | 7, 2º andar | hexagono",,20,
Benjamin da Broa,,2018-11-29,,36.0,35.0,25.0,264.0,8,"4 | 7, 2º andar | quadrante 1",,31,
Benjamin da Broa,,2018-11-30,,28.0,45.0,35.0,190.0,8,"4 | 7, 2º andar | hexagono",,20,
Biko lalan,,2016-12-11,,30.0,45.0,40.0,142.0,6,"4 | 3, 2º andar | quadrante 1",,4,
Biko lalan,,2016-12-13,,90.0,55.0,50.0,302.0,6,"4 | 3, 2º andar | quadrante 4",,82,
Biko lalan,,2016-12-15,,88.0,50.0,45.0,334.0,6,"4 | 3, 2º andar | quadrante 4",,80,
Bruxo,,2021-07-23,,25.0,,,,,"7 | 5, 2º andar | quadrante 1",,25,
Bruxo,,2021-07-26,,56.0,,,,,"7 | 9, 2º andar | quadrante 1",,56,
Bruxo,,2021-07-28,,40.0,,,,,"8 | 10, 2º andar | quadrante 4",,40,
Bruxo,,2021-07-30,,43.0,,,,,"2 | 4, 1º andar | quadrante 1",,43,
Bruxo,,2021-08-02,,23.0,,,,,"2 | 10, 2º andar | quadrante 2",,23,
Bruxo,,2021-08-04,,40.0,,,,,"8 | 3, 2º andar | quadrante 1",,40,
Bruxo,,2021-08-06,,27.0,,,,,"8 | 10, 2º andar | quadrante 2",,27,
Califa II,,2021-02-27,,28.0,35.0,35.0,268.0,6,8 | 4. 1º andar | solto,,22,
Califa II,,2021-02-23,,22.0,35.0,30.0,275.0,6,"8 | 6, 1º andar | quadrante 4",,18,
Califa II,,2021-02-24,,33.0,30.0,30.0,300.0,6,"8 | 6, 1º andar | quadrante 1",,29,
Califa II,,2021-02-24,,31.0,40.0,40.0,222.0,6,"8 | 6, 1º andar | quadrante 1",,31,
Califa II,,2021-02-26,,38.0,,,,6,"8 | 1, 2º andar | quadrante 1",,22,
Califa II,,2021-02-27,,37.0,70.0,60.0,252.0,6,"1 | 3, 2º andar | quadrante 3",,37,
Califa II,,2021-02-28,,30.0,60.0,50.0,273.0,6,"1 | 3, 2º andar | quadrante 4",,24,
Califa II,,2021-03-01,,37.0,,,,6,"8 | 1, 2º andar | quadrante 4",,9,
Califa II,,2021-03-02,,45.0,60.0,50.0,197.0,6,"8 | 6, 2º andar | quadrante 3",,39,
Califa II,,2021-03-03,,34.0,,,,6,"7 | 7, 2º andar | quadrante 2",,34,
Califa II,,2021-03-04,,37.0,,,,6,"8 | 3, 1º andar | solto",,37,
Califa II,,2021-03-05,,51.0,,,,6,"8 | 7, 1º andar | quadrante 2",,49,
Califa II,,2021-03-06,,19.0,,,,6,"8 | 7, 1º andar | quadrante 3",,17,
Califa II,,2021-03-07,,32.0,,,,6,"8 | 7, 1º andar | hexagono",,32,
Califa II,,2021-03-08,,42.0,,,,6,"8 | 7, 1º andar | quadrante 4",,35,
Califa II,,2021-03-09,,42.0,50.0,50.0,,6,"4 | 2, 1º andar | quadrante 2",,39,
Califa II,,2021-03-10,,25.0,,,,6,"6 | 3, 2º andar | quadrante 2",,25,
Califa II,,2021-03-11,,39.0,,,,6,"4 | 3, 1º andar | quadrante 3",,39,
Califa II,,2021-03-12,,68.0,,,,6,"8 | 7, 2º andar | quadrante 1",,65,
Califa II,,2021-03-13,,45.0,65.0,55.0,270.0,6,"8 | 7, 2º andar | quadrante 3",,45,
Califa II,,2021-03-14,,30.0,,,,6,"8 | 7, 2º andar | quadrante 4",,29,
Califa II,,2021-03-15,,52.0,,,,6,"8 | 7, 2º andar | quadrante 2",,51,
Campeador,,2017-01-14,,68.0,40.0,35.0,,,"3 | 1, 2º andar | quadrante 3",,48,
Campeador,,2017-01-16,,58.0,20.0,20.0,218.0,,"3 | 1, 2º andar | quadrante 2",,58,
Campeador,,2017-01-17,,52.0,15.0,15.0,,,"3 | 1, 2º andar | quadrante 4",,52,
Campeador,,2017-01-20,,39.0,35.0,30.0,,,"3 | 7, 2º andar | gobelet",,9,
Campeador,,2017-01-21,,62.0,45.0,40.0,180.0,15,"3 | 7, 2º andar | quadrante 1",,23,
Campeador,,2017-01-22,,63.0,40.0,30.0,184.0,15,"3 | 7, 2º andar | quadrante 3",,38,
Campeador,,2017-01-23,,43.0,35.0,30.0,198.0,15,"3 | 7, 2º andar | gobelet",,5,
Campeador,,2017-01-24,,40.0,45.0,40.0,206.0,15,"5 | 8, 1º andar | hexagono",,39,
Campeador,,2017-01-25,,38.0,45.0,40.0,144.0,15,"5 | 8, 1º andar | gobelet",,7,
Campeador,,2017-01-26,,48.0,35.0,30.0,196.0,15,"5 | 8, 1º andar | quadrante 2",,28,
Campeador,,2017-01-27,,38.0,30.0,25.0,190.0,15,"5 | 8, 1º andar | quadrante 4",,30,
Campeador,,2017-01-28,,50.0,40.0,35.0,198.0,15,"5 | 8, 1º andar | 2 gobelets",,15,
Campeador,,2017-01-29,,44.0,55.0,50.0,146.0,15,"3 | 1, 2º andar | gobelet",,9,
Campeador,,2017-01-30,,56.0,55.0,50.0,150.0,15,"5 | 8, 1º andar | gobelet",,4,
Campeador,,2017-01-31,,53.0,40.0,35.0,242.0,15,"5 | 8, 1º andar | quadrante 4",,27,
Coronel,,2016-10-02,,83.0,40.0,30.0,266.0,,"7 | 2, 1º andar | quadrante 4",,7,
Coronel,,2016-10-04,,74.0,30.0,20.0,148.0,,"7 | 2, 1º andar | quadrante 4",,74,
Coronel,,2016-10-06,,64.0,30.0,25.0,238.0,,"4 | 1, 1º andar | quadrante 3",,64,
Coronel,,2016-10-08,,84.0,35.0,30.0,230.0,,"2 | 3, 1º andar | quadrante 1",,76,
Coronel,,2016-10-10,,67.0,35.0,30.0,150.0,,"3 | 3, 1º andar | quadrante 4",,67,
Coronel,,2016-10-12,,76.0,25.0,20.0,238.0,,"4 | 5, 1º andar | quadrante 4",,76,
Coronel,,2016-10-14,,77.0,55.0,45.0,288.0,,"4 | 5, 1º andar | quadrante 3",,77,
Coronel,,2016-10-16,,71.0,60.0,55.0,184.0,,"4 | 5, 1º andar | quadrante 1",,58,
Coronel,,2016-10-18,,73.0,60.0,55.0,256.0,,"4 | 1, 1º andar | quadrante 1",,73,
Curacao,,2017-06-01,,54.0,30.0,20.0,160.0,8,"3 | 1, 2º andar | hexagono",,34,
Curacao,,2017-06-02,,25.0,35.0,30.0,296.0,8,"3 | 1, 2º andar | hexagono",,10,
Curacao,,2017-06-03,,42.0,45.0,35.0,240.0,8,"3 | 1, 2º andar | hexagono",,22,
Curacao,,2017-06-04,,25.0,60.0,45.0,408.0,8,"3 | 1, 2º andar | hexagono",,10,
Craque,,2023-09-21,,65.0,40.0,30.0,385.0,8,,,35,
Craque,,2023-09-29,,27.0,35.0,30.0,226.0,8,,,27,
Craque,,2023-10-11,,24.0,40.0,35.0,230.0,8,,,7,
Craque,,2023-10-13,,51.0,40.0,35.0,243.0,8,,,38,
Craque,,2023-10-16,,46.0,35.0,30.0,210.0,8,,,46,
Craque,,2023-10-18,,54.0,,,,8,,,54,
Craque,,2023-10-20,,46.0,30.0,20.0,230.0,8,,,22,
Craque,,2023-10-23,,54.0,35.0,25.0,238.0,8,,,54,
Craque,,2023-10-25,,40.0,35.0,30.0,189.0,8,,,40,
Craque,,2023-10-30,,84.0,35.0,30.0,152.0,8,,,84,
Craque,,2023-11-13,,58.0,40.0,30.0,189.0,8,,,31,
Craque,,2023-11-15,,58.0,35.0,30.0,207.0,8,,,58,
Craque,,2023-11-17,,69.0,50.0,40.0,202.0,8,,,69,
Craque,,2024-01-02,,53.0,,,,8,,,53,
Craque,,2024-01-03,,50.0,40.0,30.0,,8,,,26,
Craque,,2024-01-04,,64.0,,,,8,,,44,
Craque,,2024-01-05,,57.0,40.0,30.0,245.0,8,,,33,
Dancing Dream,,2021-11-23,,127.0,,,,4,,,97,
Daktari,,,,50.0,,,,3,,,47,
Delta,,2022-02-07,,39.0,60.0,50.0,198.0,6,,,25,
Diamante da Ferraria,,2018-10-15,,34.0,40.0,35.0,180.0,8,"7 | 3, 2º andar | quadrante 3",,34,
Diamante da Ferraria,,2018-10-17,,43.0,20.0,15.0,,8,"7 | 3, 2º andar | quadrante 2",,43,
Diamante da Ferraria,,2018-10-19,,49.0,25.0,20.0,,8,,,49,
Diamante da Ferraria,,2018-10-22,,9.0,45.0,35.0,172.0,8,"7 | 3, 2º andar | quadrante 2",,9,
Diamante da Ferraria,,2018-10-24,,20.0,55.0,40.0,374.0,8,"7 | 3, 2º andar | 2 gobelets",,20,
Diamante da Ferraria,,2018-10-26,,30.0,20.0,15.0,284.0,8,"7 | 3, 2º andar | quadrante 1",,30,
Diamante da Ferraria,,2018-10-29,,26.0,40.0,30.0,332.0,8,"7 | 3, 2º andar | quadrante 4",,26,
Diamante da Ferraria,,2018-10-31,,33.0,45.0,35.0,224.0,8,"7 | 3, 2º andar | hexagono",,33,
Diamante da Ferraria,,2018-11-02,,38.0,40.0,35.0,266.0,8,"7 | 5,1º andar | quadrante 3",,38,
Diamante da Ferraria,,2018-11-05,,25.0,35.0,30.0,220.0,8,"7 | 5,1º andar | quadrante 4",,25,
Diamante da Ferraria,,2018-11-07,,40.0,20.0,10.0,162.0,8,"7 | 5,1º andar | 2 gobelets",,40,
Diamante da Ferraria,,2018-11-09,,34.0,30.0,25.0,225.0,8,"7 | 5,1º andar | hexagono",,34,
Diamante da Ferraria,,2018-11-14,,47.0,35.0,30.0,208.0,8,"7 | 5,1º andar | quadrante 1",,47,
Diamante da Ferraria,,2018-11-16,,76.0,40.0,35.0,250.0,8,"4 | 1, 1º andar | quadrante 2",,76,
Diamante da Ferraria,,2018-11-19,,75.0,40.0,35.0,262.0,8,"3 | 5, 2º andar | quadrante 3",,75,
Diamante da Ferraria,,2018-11-21,,40.0,30.0,25.0,276.0,8,"4 | 6, 2º andar | quadrante 2",,40,
Diamante Negro,,2018-10-08,,25.0,50.0,40.0,300.0,4,"1 | 6, 2º andar | quadrante 4",,25,
Diamante Negro,,2018-10-10,,49.0,55.0,40.0,,4,"2 | 6, 2º andar | quadrante 4",,27,
Diamante Negro,,2018-10-12,,39.0,55.0,40.0,382.0,4,"3 | 2, 2º andar | hexagono",,35,
Diamante Negro,,2018-10-15,,42.0,50.0,40.0,552.0,4,"3 | 2, 2º andar | quadrante 4",,39,
Diamante Negro,,2018-10-17,,42.0,60.0,50.0,276.0,4,"3 | 2, 2º andar | quadrante 1",,36,
Diamante Negro,,2018-10-19,,46.0,45.0,40.0,298.0,4,"3 | 2, 2º andar | quadrante 2",,39,
Diamante Negro,,2018-10-22,,32.0,45.0,35.0,,4,"3 | 2, 2º andar | hexagono",,28,
Diamante Negro,,2018-10-24,,41.0,50.0,40.0,185.0,4,"3 | 2, 2º andar | hexagono",,36,
Diamante Negro,,2018-10-26,,34.0,55.0,40.0,225.0,4,"3 | 2, 2º andar | quadrante 3",,27,
Diamante Negro,,2018-10-29,,41.0,,,,4,"5 | 8, 1º andar | quadrante 2",,28,
Diamante Negro,,2018-10-31,,33.0,,,,4,"5 | 8, 1º andar | hexagono",,25,
Diamante Negro,,2018-11-02,,28.0,,,,4,"5 | 8, 1º andar | quadrante 4",,21,
Diamante Negro,,2018-11-05,,35.0,50.0,45.0,,4,"5 | 8, 1º andar | quadrante 3",,29,
Diamante Negro,,2018-11-07,,41.0,,,,4,"5 | 8, 1º andar | quadrante 1",,25,
Diamante Negro,,2018-11-09,,38.0,,,,4,"5 | 8, 1º andar | quadrante 2",,34,
Diamante Negro,,2018-11-12,,39.0,50.0,40.0,,4,"4 | 4, 1º andar | quadrante 2",,39,
Diamante Negro (TM),,2020-12-04,,57.0,50.0,50.0,249.0,,"7 | 7, 1º andar | quadrante 4",,5,
Diamante Negro (TM),,2020-12-05,,33.0,,,,4,"7 | 1, 1º andar | quadrante 4",,33,
Diamante Negro (TM),,2020-12-07,,28.0,60.0,55.0,246.0,4,"3 | 7, 2º andar | quadrante 4",,1,
Diamante Negro (TM),,2020-12-08,,18.0,50.0,45.0,320.0,4,"3 | 2, 2º andar | gobelets",,18,
Diamante Negro (TM),,2020-12-09,,42.0,,,,4,,,42,
Diamante Negro (TM),,2020-12-10,,43.0,60.0,50.0,297.0,4,,,43,
Diamante Negro (TM),,2020-12-11,,61.0,50.0,45.0,330.0,4,"3 | 7, 2º andar | quadrante 2",,61,
Diamante Negro (TM),,2020-12-12,,47.0,,,,4,"7 | 8, 2º andar | quadrante 4",,47,
Diamante Negro (TM),,2020-12-14,,42.0,,,,4,,,42,
Diamante Negro (TM),,2020-12-15,,45.0,70.0,60.0,224.0,4,"7 | 8, 2º andar | quadrante 1",,1,
Diamante Negro (TM),,2020-12-18,,16.0,,,,4,"3 | 7, 2º andar | quadrante 3",,13,
Diamante Negro (TM),,2020-12-19,,27.0,,,,4,"5 | 1, 2º andar | quadrante 2",,24,
Diamante Negro (TM),,2020-12-20,,46.0,70.0,60.0,236.0,4,4 | 9. 2º andar | quadrante 4,,20,
Diamante Negro (TM),,,20/12/2020 A,25.0,60.0,45.0,216.0,4,4 | 9. 2º andar | quadrante 3,,25,
Diamante Negro (TM),,2020-12-21,,30.0,,,,4,"2 | 10, 2º andar | quadrante 4",,26,
Diamante Negro (TM),,2020-12-22,,51.0,,,,4,"2 | 9, 1º andar | quadrante 3",,51,
Diamante Negro (TM),,2020-12-23,,44.0,60.0,50.0,297.0,4,"8 | 4, 2º andar | quadrante 1",,44,
Diamante Negro (TM),,2020-12-24,,42.0,50.0,50.0,228.0,4,"8 | 4, 2º andar | quadrante 4",,42,
Diamante Negro (TM),,2020-12-25,,36.0,,,,4,"8 | 1, 1º andar | quadrante 2",,36,
Diamante Negro (TM),,2020-12-26,,47.0,70.0,50.0,298.0,4,"8 | 1, 1º andar | quadrante 1",,47,
Diamante Negro (TM),,2020-12-27,,31.0,60.0,40.0,224.0,4,"8 | 1, 1º andar | quadrante 4",,31,
Diamante Negro (TM),,2020-12-28,,38.0,70.0,65.0,269.0,4,"8 | 2, 2º andar | quadrante 1",,32,
Diamante Negro (TM),,2020-12-29,,50.0,70.0,60.0,,4,"8 | 2, 2º andar | quadrante 4",,44,
Diamante Negro (TM),,2020-12-30,,42.0,,,,4,"8 | 2, 1º andar | quadrante 4",,42,
Diamante Negro (TM),,2020-12-31,,42.0,,,,4,"8 | 2, 1º andar | quadrante 3",,42,
Diamante Negro (TM),,2021-01-01,,42.0,60.0,50.0,206.0,4,"8 | 1, 2º andar | quadrante 3",,38,
Diamante Negro (TM),,2021-01-02,,26.0,50.0,40.0,,4,"8 | 1, 2º andar | quadrante 1",,22,
Diamante Negro (TM),,2021-01-03,,17.0,70.0,50.0,324.0,4,"8 | 2, 2º andar | quadrante 2",,11,
Diamante Negro (TM),,2021-01-04,,51.0,60.0,50.0,230.0,4,"7 | 1, 2º andar | quadrante 4",,51,
Diamante Negro (TM),,2021-01-05,,26.0,,,,4,"8 | 2, 2º andar | quadrante 3",,26,
Diamante Negro (TM),,2021-01-06,,42.0,,,,4,"3 | 6, 2º andar | hexagono",,42,
Diamante Negro (TM),,2021-01-07,,38.0,,,,4,"8 | 3, 2º andar | quadrante 4",,38,
Diamante Negro (TM),,2021-01-08,,34.0,,,,4,"8 | 4, 1º andar | hexagono",,34,
Diamante Negro (TM),,2021-01-09,,37.0,40.0,40.0,286.0,4,"8 | 6, 1º andar | quadrante 1",,37,
Diamante Negro (TM),,2021-01-10,,38.0,50.0,50.0,273.0,4,"8 | 6, 1º andar | quadrante 3",,38,
Diamante Negro (TM),,2021-01-11,,46.0,,,,4,,,46,
Diamante Negro (TM),,2021-03-11,,50.0,70.0,65.0,255.0,4,"8 | 6, 1º andar | quadrante 2",,50,
Diamante Negro (TM),,2021-01-12,,44.0,50.0,50.0,202.0,4,"1 | 3, 2º andar | quadrante 1",,44,
Diamante Negro (TM),,2021-01-13,,24.0,55.0,50.0,262.0,4,"1 | 3, 2º andar | quadrante 2",,24,
Diamante Negro (TM),,2021-02-17,,29.0,,,,4,"8 | 2, 1º andar | quadrante 1",,25,
Diamante Negro (TM),,2021-02-18,,40.0,,,,4,,,36,
Diamante Negro (TM),,2021-02-19,,25.0,,,,4,,,21,
Disturbio,,2015-02-10,,44.0,,,,4,"5 | 7, 1º andar | quadrante 4",,20,
Disturbio,,2015-02-11,,57.0,,,,4,"5 | 7, 1º andar | quadrante 2",,37,
Disturbio,,2015-02-12,,59.0,,,,4,"5 | 7, 1º andar | quadrante 3",,41,
Disturbio,,2015-02-14,,38.0,,,,4,"5 | 7, 1º andar | quadrante 1",,18,
Disturbio,,2015-02-15,,66.0,,,,4,"5 | 7, 2º andar | quadrante 1",,35,
Disturbio,,2015-02-17,,71.0,,,,4,"5 | 7, 2º andar | quadrante 3",,2,
Disturbio,,2015-02-19,,74.0,,,,4,"5 | 7, 2º andar | quadrante 2",,51,
Diu,,2015-02-15,,65.0,,,,8,"8 | 5, 1º andar",,59,
Diu,,2015-02-17,,51.0,,,,8,"8 | 5, 1º andar",,45,
Diu,,2015-02-19,,35.0,,,,8,"8 | 5, 1º andar",,29,
Diu,,2015-02-21,,42.0,,,,8,"8 | 5, 1º andar",,36,
Diu,,2015-02-23,,54.0,,,,8,"8 | 5, 1º andar",,34,
Dragão Equo,,,,102.0,,,,4,,,23,
Dragão Lux,,,,24.0,,,,,,,30,
Embuçado,,2014-03-05,,17.0,,,,,"3 | 1, 1º andar | quadrante 3",,15,
Embuçado,,2014-03-07,,54.0,,,,,"3 | 1, 1º andar | quadrante 1",,22,
